"Text"
"Si yo fuera Frente amplio , me daría vergüenza apoyo a Maduro. Es tan ""chanta"", ""ridículo"" y ""Patético""!! 😳 https://t.co/q2Zz0QqERD"
"Quien fiscaliza a colectivos en #laserena y su estado mecánico. Porque en el que voy anda de milagro (ni hablar del aseo) @SeremittIV"
"Otro más de los trabajos realizados para @ReebokChile #reebok #chile #lockers #branding https://t.co/Z7TUXBcVdl"
"18:10 en Calama 10-3-2 RX1 Rtda Circunvalacion y Camino Camino A Chiu Chiu https://t.co/fvwISfwTky"
"https://t.co/BTjTKnCmus"
"Que opina sobre este jugador transferible ? Amigo @guedemaniaco https://t.co/cK1RVIjD5o"
"Que hermoso fanart!!! ❤#최고리더남준 https://t.co/QHD0ahNpj9"
"Tacooooooooo...... odiooooo Santiago y llena de bolsas @marhy_garrido estoy furiosa"
"@SanBernardocl @cambiaSanBdo @Nora_Cuevas estimada alcaldesa e aquí una empresa que podría ayudar a solucionar tema… https://t.co/K7OKVVGoIo"
"#chapalaMC https://t.co/wIuqlF81wG"
"Tengo sueño y frío, 
quiero mi cama  😔"
".@lilyperez ""Hay que separar las cosas, fue un grupo de funcionarios q se coludió para defraudar, no la Institución de @Carabdechile"""
"Que mejor que dar un respiro a la rutina 😍 @ Mirasol Norte https://t.co/qJSCFUVjDJ"
"@prncssmnonoke @Macka_kookie"
"18:33 en Puente Alto Accidente vehicular (10-4-1) R2 RB5 Arturo Prat y Covadonga https://t.co/6QJNNRwwu2"
"@pela0yakuzza @Toto_gonzalez_ @MVMNews @andresporfiao @laninred @pia_villarro_el @rconstancioa @claudiofrancisc 😂😂😂… https://t.co/DcICYLQ3Hu"
"Esto y un chocolate caliente es lo que necesito AHORA! 😍🌋 https://t.co/f4WDtGQ4Mc"
"Que pena lo de Synder :("
"Horrible, ya ni siquiera se puede disfrutar de un concierto 🙁"
"#manchester es ahora una tendencia en #Santiago

https://t.co/VhUQawoBP3 https://t.co/jiOxuHDZbF"
"@tylermaraco pero ya se eso po"
"Alarma de la oficina 1 - Jotapé 0. Es por este tipo de cosas que nunca seré millonario."
"Cuando tienes un dinilovers en casa #tejidodelaabuelita @ Santiago Metropolitan Region https://t.co/vW6ouDrPUJ"
"/ @conyallendes 😂 @ Restaurant El Montañes https://t.co/T7Hgfm9KLp"
"Quedo la grande.

gracias gracias no se molesten animo kermeses y bautizos hashtag"
"@el_dinamo Conociendo a los Chilenos, apostaría que la mayoría de sus seguidores lo siguen para pedirle pega, un bi… https://t.co/BvzpwRG4iE"
"Estoy muy enojada con todo el mundo hueón, paren su caga de egocentrismo"
"Que belleza... primera vez acá viendo legalmente una película… https://t.co/3UTItZgPoY"
"@cataherz y  era necesario borrar el otro tweet para volver a decir lo mismo catavuogue? 😌😏"
"#LaDecisionDeGunes este weon de Haluk es sicopata y eso es lo mas suave q se me ocurre"
"RIP a los fans de Ariana muertos en Manchester"
"JAJAJAJAJAJAJA https://t.co/5QNAkEZzCn"
"A falta de #pan...bueno es el mío pero #singluten #glutenfree  😍 @ Santiago Metropolitan Region https://t.co/vEdEWosS0S"
"Lo que se viene! https://t.co/yJ3FnJgX4H"
"Leo 1 min y descanso 1 hora 🌚"
"No quiero escuchar más la palabra estimular e inhibir 😩"
"19:26 en Pudahuel Accidente vehicular con menos de 5 lesionados (10-4-1) R3 B10 Carr Ruta 68 y Camino A Noviciado https://t.co/OrPpwXXg92"
"@bichofeliz_arg @GatosCiegosClub @ClubVitalcan @RoyalCanin @migatodinamita @animal_ON @Arquipets @FeelCats_… https://t.co/oY7z8WxjMg"
"Por gente así el mundo está como está. Que pena pensar de esta manera https://t.co/9WEyHfgerx"
"19:38 en Peñalolén Fuego en pasto y/o basura (10-2) B3 Avenida Tobalaba y Coronel Alejandro Sepulveda https://t.co/ErDIh6kmKP"
"Jajajan https://t.co/5lmleEn72x"
"What!!! Ahora ni a un concierto se va seguro!!!😨😨😨 https://t.co/bbrZiFHs98"
"Concerts and at the end, the new target. Dangerous people #ArianaGrande"
"@EdoCaroemago @fersuperlativo Y si esto acabo? Y si nada seguirá? Y si somos un trompo 🤣#PongamonosSerios"
